咪咕体育,#genre#
按照时间顺序找到要看的比赛,https://cloud.wujiyan.cc/f/4p4tx/1.MOV
 12/18 08:30_NBANBA杯_雄鹿VS雷霆_NBA杯特别节目 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97234&/PLTV/
 12/18 09:15_NBANBA杯_雄鹿VS雷霆_杨健 李根 孙悦 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97235&/PLTV/
 12/18 09:25_NBANBA杯_雄鹿VS雷霆_莫俊祺 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97236&/PLTV/
 12/18 09:25_NBANBA杯_雄鹿VS雷霆_洪荒 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97237&/PLTV/
 12/18 09:25_NBANBA杯_雄鹿VS雷霆_英文原声 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97238&/PLTV/


 12/18 19:20_WCBA常规赛A组_浙江稠州银行 VS 上海浦发银行_解说 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97200&/PLTV/
 12/18 19:25_WCBA常规赛B组_天津冠岚 VS 黑龙江上东_清流播出 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97201&/PLTV/
 12/18 19:25_WCBA常规赛B组_河南豫光金铅 VS 厦门环东文旅_清流播出 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97202&/PLTV/
 12/18 19:25_WCBA常规赛B组_江西赣星 VS 武汉盛帆黄鹤_清流播出 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97203&/PLTV/
 12/18 19:00_CBA常规赛第19轮_北京北汽vs江苏肯帝亚_邵化谦 季孟年 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97204&/PLTV/
 12/18 19:20_CBA常规赛第19轮_北京北汽vs江苏肯帝亚_北京主队 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97205&/PLTV/
 12/18 19:20_CBA常规赛第19轮_北京北汽vs江苏肯帝亚_江苏主队 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97206&/PLTV/
 12/18 19:20_CBA常规赛第19轮_北京北汽vs江苏肯帝亚_清流播出1 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97207&/PLTV/
 12/18 19:00_CBA常规赛第19轮_南京头排苏酒vs广东东阳光_李天宇 郭维盛 王羽希 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97208&/PLTV/
 12/18 19:20_CBA常规赛第19轮_南京头排苏酒vs广东东阳光_王港 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97209&/PLTV/
 12/18 19:20_CBA常规赛第19轮_南京头排苏酒vs广东东阳光_广东主队 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97210&/PLTV/
 12/18 19:20_CBA常规赛第19轮_南京头排苏酒vs广东东阳光_清流播出5 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97211&/PLTV/
 12/18 19:00_CBA常规赛第19轮_九台农商银行vs辽宁本钢_解说 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97212&/PLTV/
 12/18 19:20_CBA常规赛第19轮_九台农商银行vs辽宁本钢_房峰浩 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97213&/PLTV/
 12/18 19:20_CBA常规赛第19轮_九台农商银行vs辽宁本钢_辽宁主队 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97214&/PLTV/
 12/18 19:20_CBA常规赛第19轮_九台农商银行vs辽宁本钢_清流播出2 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97215&/PLTV/
 12/18 19:20_CBA常规赛第19轮_山西汾酒vs山东高速_吕程 丁伟 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97216&/PLTV/
 12/18 19:20_CBA常规赛第19轮_山西汾酒vs山东高速_山西主队 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97217&/PLTV/
 12/18 19:20_CBA常规赛第19轮_山西汾酒vs山东高速_山东主队 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97218&/PLTV/
 12/18 19:20_CBA常规赛第19轮_山西汾酒vs山东高速_清流播出3 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97219&/PLTV/
 12/18 19:00_CBA常规赛第19轮_深圳马可波罗vs上海久事_王冠证 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97220&/PLTV/
 12/18 19:20_CBA常规赛第19轮_深圳马可波罗vs上海久事_深圳主队 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97221&/PLTV/
 12/18 19:20_CBA常规赛第19轮_深圳马可波罗vs上海久事_上海主队 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97222&/PLTV/
 12/18 19:20_CBA常规赛第19轮_深圳马可波罗vs上海久事_清流播出4 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97223&/PLTV/
 12/18 19:30_CBA常规赛第19轮_新疆伊力特vs天津先行者_寇逸豪 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97224&/PLTV/
 12/18 19:45_CBA常规赛第19轮_新疆伊力特vs天津先行者_新疆主队 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97225&/PLTV/
 12/18 19:45_CBA常规赛第19轮_新疆伊力特vs天津先行者_天津主队 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97226&/PLTV/
 12/18 19:45_CBA常规赛第19轮_新疆伊力特vs天津先行者_清流播出6 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97227&/PLTV/
 12/19 01:20_意大利杯_亚特兰大vs切塞纳_涂远 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97228&/PLTV/
 12/19 03:45_法甲联赛_摩纳哥 vs 巴黎圣日耳曼_鹿中原 王宇 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97229&/PLTV/
 12/19 03:50_意大利杯_罗马vs桑普多利亚_张昊泽 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97231&/PLTV/
 12/19 04:20_西甲联赛_比利亚雷亚尔 vs 巴列卡诺_梁祥宇 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97232&/PLTV/
 12/19 04:20_西甲联赛_西班牙人 vs 瓦伦西亚_周楚雄 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97233&/PLTV/
 12/18 08:30_NBANBA杯_雄鹿VS雷霆_NBA杯特别节目 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97234&/PLTV/
 12/18 09:15_NBANBA杯_雄鹿VS雷霆_杨健 李根 孙悦 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97235&/PLTV/
 12/18 09:25_NBANBA杯_雄鹿VS雷霆_莫俊祺 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97236&/PLTV/
 12/18 09:25_NBANBA杯_雄鹿VS雷霆_洪荒 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97237&/PLTV/
 12/18 09:25_NBANBA杯_雄鹿VS雷霆_英文原声 ,http://dfkj.live/index.m3u8?user=l9kGw&channel=miguty_tv&id=97238&/PLTV/
